remaining_obj,ac_weight,knapsack,ac_weight,knapsack,ac_weight,knapsack,ac_weight,total_fitness
0, 64, 1, 16, 2, 384, 3, 559, 170
0, 0, 1, 96, 2, 128, 3, 799, 170
0, 0, 1, 128, 2, 593, 3, 302, 170
0, 145, 1, 288, 2, 512, 3, 78, 170
0, 144, 1, 768, 2, 101, 3, 10, 201
0, 273, 1, 64, 2, 672, 3, 14, 170
0, 272, 1, 192, 2, 1, 3, 558, 170
0, 512, 1, 17, 2, 480, 3, 14, 170
0, 384, 1, 608, 2, 16, 3, 15, 170
0, 640, 1, 0, 2, 81, 3, 302, 170
0, 544, 1, 321, 2, 0, 3, 158, 170
0, 192, 1, 288, 2, 532, 3, 11, 201
0, 784, 1, 128, 2, 64, 3, 47, 170
0, 576, 1, 32, 2, 128, 3, 287, 170
0, 129, 1, 258, 2, 32, 3, 604, 201
0, 0, 1, 385, 2, 512, 3, 126, 170
0, 385, 1, 34, 2, 0, 3, 604, 201
0, 48, 1, 0, 2, 384, 3, 591, 170
0, 1, 1, 752, 2, 256, 3, 14, 170
0, 0, 1, 593, 2, 160, 3, 270, 170
0, 544, 1, 256, 2, 129, 3, 94, 170
0, 513, 1, 224, 2, 256, 3, 30, 170
0, 256, 1, 529, 2, 0, 3, 238, 170
0, 640, 1, 256, 2, 96, 3, 31, 170
0, 0, 1, 160, 2, 81, 3, 782, 170
0, 48, 1, 257, 2, 66, 3, 652, 201
0, 96, 1, 512, 2, 0, 3, 415, 170
0, 0, 1, 513, 2, 240, 3, 270, 170
0, 0, 1, 256, 2, 17, 3, 750, 170
0, 1, 1, 576, 2, 144, 3, 302, 170
0, 769, 1, 192, 2, 16, 3, 46, 170
0, 256, 1, 65, 2, 512, 3, 190, 170
0, 64, 1, 788, 2, 33, 3, 138, 201
0, 512, 1, 320, 2, 129, 3, 62, 170
0, 0, 1, 305, 2, 576, 3, 142, 170
0, 49, 1, 0, 2, 512, 3, 462, 170
0, 33, 1, 0, 2, 336, 3, 654, 170
0, 768, 1, 33, 2, 128, 3, 94, 170
0, 65, 1, 276, 2, 0, 3, 682, 201
0, 992, 1, 13, 2, 16, 3, 2, 232
0, 577, 1, 400, 2, 32, 3, 14, 170
0, 0, 1, 464, 2, 513, 3, 46, 170
0, 0, 1, 48, 2, 768, 3, 207, 170
0, 0, 1, 64, 2, 825, 3, 134, 201
0, 288, 1, 17, 2, 0, 3, 718, 170
0, 1, 1, 512, 2, 416, 3, 94, 170
0, 768, 1, 0, 2, 129, 3, 126, 170
0, 112, 1, 896, 2, 0, 3, 15, 170
0, 224, 1, 514, 2, 256, 3, 29, 201
0, 337, 1, 0, 2, 516, 3, 170, 201
0, 18, 1, 64, 2, 800, 3, 141, 224
0, 513, 1, 32, 2, 144, 3, 334, 170
0, 208, 1, 0, 2, 768, 3, 47, 170
0, 544, 1, 256, 2, 152, 3, 71, 201
0, 512, 1, 352, 2, 17, 3, 142, 170
0, 304, 1, 640, 2, 1, 3, 78, 170
