remaining_obj,ac_weight,knapsack,ac_weight,knapsack,ac_weight,knapsack,ac_weight,total_fitness
0, 6314513, 1, 9535780, 2, 9216, 3, 917706, 2732563
0, 856320, 1, 16548, 2, 12616208, 3, 3288139, 2732563
0, 12206208, 1, 66593, 2, 4235284, 3, 269130, 2732563
0, 4326640, 1, 9734404, 2, 2109952, 3, 606219, 2732563
0, 8655616, 1, 3172356, 2, 557281, 3, 4391962, 2732563
0, 2097984, 1, 8405124, 2, 1318913, 3, 4955194, 2732563
0, 1104257, 1, 6620736, 2, 8519716, 3, 532506, 2732563
0, 9062816, 1, 1318928, 2, 2135621, 3, 4259850, 2732563
0, 4342913, 1, 1347600, 2, 8915204, 3, 2171498, 2732563
0, 14336, 1, 14532800, 2, 2098469, 3, 131610, 2732563
0, 370000, 1, 3283585, 2, 8404996, 3, 4718634, 2732563
0, 335872, 1, 15859792, 2, 18980, 3, 562571, 2732563
0, 393265, 1, 11620676, 2, 43648, 3, 4719626, 2732563
0, 1584128, 1, 8651284, 2, 4407649, 3, 2134154, 2732563
0, 38032, 1, 6037572, 2, 2230305, 3, 8471306, 2732563
0, 477361, 1, 4755456, 2, 9445636, 3, 2098762, 2732563
0, 1347664, 1, 139780, 2, 14699648, 3, 590123, 2732563
0, 10531040, 1, 6031621, 2, 197648, 3, 16906, 2732563
0, 3187712, 1, 86097, 2, 526884, 3, 12976522, 2732563
0, 8411808, 1, 3605520, 2, 4202756, 3, 557131, 2732563
0, 8389648, 1, 2169412, 2, 4514177, 3, 1703978, 2732563
0, 262913, 1, 8224, 2, 1088660, 3, 15417418, 2732563
0, 13673792, 1, 2117764, 2, 133649, 3, 852010, 2732563
0, 8914433, 1, 2388292, 2, 1083424, 3, 4391066, 2732563
0, 3225600, 1, 786481, 2, 12715340, 3, 49794, 3532164
0, 8914128, 1, 1315365, 2, 6457600, 3, 90122, 2732563
0, 6316944, 1, 9442309, 2, 819200, 3, 198762, 2732563
0, 6685408, 1, 527616, 2, 1175572, 3, 8388619, 2732563
0, 4588225, 1, 8947748, 2, 1069056, 3, 2172186, 2732563
0, 591957, 1, 266496, 2, 7479968, 3, 8438794, 3115308
0, 8701952, 1, 1783125, 2, 2097280, 3, 4194858, 2732563
0, 155664, 1, 8948993, 2, 1053188, 3, 6619370, 2732563
0, 8536641, 1, 5341460, 2, 2108544, 3, 790570, 2732563
0, 5280512, 1, 467141, 2, 2099232, 3, 8930330, 2732563
0, 11813504, 1, 4294676, 2, 131425, 3, 537610, 2732563
0, 11010080, 1, 1180160, 2, 123140, 3, 4463835, 2732563
0, 2675008, 1, 9899684, 2, 4194305, 3, 8218, 2732563
0, 4343040, 1, 3407876, 2, 598064, 3, 8428235, 2732563
0, 11010304, 1, 5310080, 2, 438277, 3, 18554, 2732563
0, 5593361, 1, 2622980, 2, 8527872, 3, 33002, 2732563
0, 4233248, 1, 10502464, 2, 1647108, 3, 394395, 2732563
0, 8661009, 1, 2162852, 2, 5427456, 3, 525898, 2732563
0, 4261968, 1, 9093248, 2, 2360836, 3, 1061163, 2732563
0, 263169, 1, 13150560, 2, 131204, 3, 3232282, 2732563
0, 534849, 1, 4326016, 2, 10519604, 3, 1396746, 2732563
0, 46592, 1, 1638416, 2, 10897668, 3, 4194539, 2732563
0, 8513697, 1, 136000, 2, 8126484, 3, 1034, 2732563
0, 4854272, 1, 1065348, 2, 100465, 3, 10757130, 2732563
0, 68737, 1, 1105940, 2, 15073792, 3, 528746, 2732563
0, 333888, 1, 10536452, 2, 1048865, 3, 4858010, 2732563
0, 11044928, 1, 1130517, 2, 140416, 3, 4461354, 2732563
0, 6299649, 1, 1164980, 2, 6208, 3, 9306378, 2732563
0, 8585248, 1, 6313221, 2, 796800, 3, 1081946, 2732563
0, 12853520, 1, 2149, 2, 578560, 3, 3342986, 2732563
0, 1189, 1, 4309056, 2, 4066064, 3, 8400906, 3115308
0, 544784, 1, 1081601, 2, 6433476, 3, 8717354, 2732563
0, 4229952, 1, 70709, 2, 1064960, 3, 11411594, 2732563
0, 2129952, 1, 6033477, 2, 149008, 3, 8464778, 2732563
0, 5275665, 1, 148996, 2, 790560, 3, 10561994, 2732563
0, 4300960, 1, 3540481, 2, 6212, 3, 8929562, 2732563
0, 4473152, 1, 3282436, 2, 9019537, 3, 2090, 2732563
0, 12583264, 1, 16388, 2, 821784, 3, 3355779, 3532164
0, 5408, 1, 3072069, 2, 5309056, 3, 8390682, 2732563
0, 2622480, 1, 1377025, 2, 8552644, 3, 4225066, 2732563
0, 17776, 1, 563332, 2, 8847872, 3, 7348235, 2732563
0, 9454852, 1, 2687568, 2, 4206720, 3, 428075, 3115308
0, 630336, 1, 14680448, 2, 131109, 3, 1335322, 2732563
0, 0, 1, 4548612, 2, 10490112, 3, 1738491, 2732563
0, 585857, 1, 9439040, 2, 4653092, 3, 2099226, 2732563
0, 9584, 1, 786432, 2, 15764101, 3, 217098, 2732563
0, 526480, 1, 4538369, 2, 1095204, 3, 10617162, 2732563
0, 3145809, 1, 92452, 2, 5117056, 3, 8421898, 2732563
0, 2363392, 1, 67877, 2, 1730176, 3, 12615770, 2732563
0, 541248, 1, 229792, 2, 6564885, 3, 9441290, 2732563
0, 3237984, 1, 296197, 2, 135696, 3, 13107338, 2732563
0, 14951489, 1, 674356, 2, 4480, 3, 1146890, 2732563
0, 2261537, 1, 9515156, 2, 1088, 3, 4999434, 2732563
0, 34369, 1, 3145728, 2, 13318292, 3, 278826, 2732563
0, 271008, 1, 4736068, 2, 9666833, 3, 2103306, 2732563
0, 8456833, 1, 5035332, 2, 2097184, 3, 1187866, 2732563
0, 1319984, 1, 2561, 2, 7045188, 3, 8409482, 2732563
0, 8394881, 1, 65856, 2, 1237540, 3, 7078938, 2732563
0, 38912, 1, 672449, 2, 13639732, 3, 2426122, 2732563
0, 17541, 1, 3090512, 2, 37152, 3, 13632010, 3115308
0, 10488352, 1, 1335505, 2, 4952068, 3, 1290, 2732563
0, 2097200, 1, 8446016, 2, 4594565, 3, 1639434, 2732563
0, 1577392, 1, 10512453, 2, 4359168, 3, 328202, 2732563
0, 9527681, 1, 559716, 2, 4199424, 3, 2490394, 2732563
0, 1867904, 1, 2305, 2, 8417860, 3, 6489146, 2732563
0, 128, 1, 6431252, 2, 1919041, 3, 8426794, 2732563
0, 9973328, 1, 4227232, 2, 2297861, 3, 278794, 2732563
0, 1581184, 1, 446816, 2, 4197892, 3, 10551323, 2732563
0, 9760, 1, 266244, 2, 10584449, 3, 5916762, 2732563
0, 296720, 1, 14172260, 2, 202753, 3, 2105482, 2732563
0, 10504225, 1, 402432, 2, 5280660, 3, 589898, 2732563
0, 6328512, 1, 9437456, 2, 224804, 3, 786443, 2732563
0, 4128, 1, 426116, 2, 12600848, 3, 3746123, 2732563
0, 1705248, 1, 76305, 2, 4194372, 3, 10801290, 2732563
0, 65568, 1, 393984, 2, 9495637, 3, 6822026, 2732563
0, 1179760, 1, 4729856, 2, 8454661, 3, 2412938, 2732563
0, 9380096, 1, 32896, 2, 6294037, 3, 1070186, 2732563
0, 535936, 1, 14696964, 2, 430081, 3, 1114234, 2732563
0, 3596417, 1, 4259860, 2, 6464, 3, 8914474, 2732563
0, 8755201, 1, 3145936, 2, 4202500, 3, 673578, 2732563
0, 10764928, 1, 1581380, 2, 70673, 3, 4360234, 2732563
0, 8389713, 1, 4225028, 2, 1212544, 3, 2949930, 2732563
0, 8127504, 1, 8393444, 2, 141312, 3, 114955, 2732563
0, 9728064, 1, 2198533, 2, 4325776, 3, 524842, 2732563
0, 12878016, 1, 3235840, 2, 528948, 3, 134411, 2732563
0, 8421376, 1, 24976, 2, 8002085, 3, 328778, 2732563
0, 8667680, 1, 4370516, 2, 590976, 3, 3148043, 2732563
0, 11708160, 1, 268353, 2, 16404, 3, 4784298, 2732563
0, 4202497, 1, 11681824, 2, 269396, 3, 623498, 2732563
0, 8664720, 1, 0, 2, 6307940, 3, 1804555, 2732563
0, 32768, 1, 4213893, 2, 1770352, 3, 10760202, 2732563
0, 3276801, 1, 8653568, 2, 4797620, 3, 49226, 2732563
