chromosome,fitness
8952221,78741
12419912,745020
220213,1325303
15632532,757772
1973588,246815
11760592,4878
2396004,136085
7986784,623839
12784926,46436
12856890,57363
8295233,302004
13143692,381164
8698457,551
15052828,151762
1270598,507346
15008698,24180
3398226,64332
8471550,12164
3699494,360007
8635766,92268
16043632,20379
5292827,135506
5386731,442494
1290490,131556
3115665,451869
5126904,59014
585067,42714
2329338,189552
14540984,176815
14705374,42656
14847920,4153
3771438,449223
2681225,812044
1190318,234544
4132940,1626833
14232143,176435
2390075,462302
16507188,91466
8629401,159978
6643298,372524
13354896,21644
5554634,226191
14743800,497338
2780461,207767
2741873,1046889
1526389,423143
9518644,402010
1199814,220909
2145224,165709
15736216,512973
13210262,314323
6491954,700451
13511586,108706
16360963,331691
5346099,375305
880322,117111
8950190,637289
10057974,106928
1093048,117012
13234985,49959
3257176,127790
10150075,27294
9648884,76617
4836028,80277
3065057,1277043
11944436,628705
1322785,745379
15781457,613123
10375585,1280202
9720092,776890
13756709,367200
11725317,167969
12826096,85452
5469025,953349
12772423,472641
2543703,116965
13900454,63497
9804968,44329
8835921,193434
11131034,317862
11911223,174720
3197685,209663
2445639,835770
13284020,275642
11292172,570496
9920889,395264
6205824,519190
10854477,1038081
6212611,245557
9805153,230733
715955,17503
7154506,115717
3460000,249546
9913358,256498
939641,479242
2057416,700183
10546882,17184
15768420,418504
9361652,68658
7482535,61023
14066243,392442
8770883,35281
16261853,420136
2475331,551097
13389982,343249
11522313,251681
7830608,38559
8031443,200292
14529544,411634
15758801,216855
3416431,317582
15539812,550769
13659318,28244
14573881,496619
15778094,502129
1524876,527633
1683771,73024
7629544,364820
14765590,446646
103805,274141
15867336,499967
2240021,953108
13780469,363264
13250316,89965
7099213,69088
7374516,589227
3795005,92180
1699927,237064
10416290,64993
1548882,378839
5884110,165304
10596923,86453
6333821,47701
10298155,98089
9967507,165822
6164875,229588
14178100,378867
8730083,62172
3906149,453090
10905820,41843
9221667,54983
8953545,487116
4545512,39835
1211589,260166
15079864,441802
9374956,681707
4763827,1522484
9673092,423547
14388756,74186
4273658,123875
1682946,821930
4797850,171428
6763208,566689
144822,79971
601754,374871
6487248,140456
16698369,610750
3676567,367329
7398200,338098
15001763,226268
9155079,205546
8579781,196884
13965009,306535
11914321,487791
2321739,35470
4256245,97193
11507875,199261
13159550,147872
8031433,738726
15912256,1097971
11649278,26797
7481170,417392
5501003,245315
14576328,26505
14857712,143774
14704050,406104
9915608,212854
1833476,19835
4486380,208516
14944701,206964
4903226,786294
7004749,366454
10017109,485439
6162233,68341
7967404,216438
127510,278796
13431170,4194
3732994,332266
14956758,70797
9625160,167187
3209731,282741
8604078,420507
15058958,60831
621595,494419
12828846,619770
5738665,565549
3906601,718172
10785021,210593
7808610,410219
12852570,207426
12978905,863856
8965620,379848
4386160,846398
14411368,35496
5362664,74764
6419505,1121225
4882192,330247
7025694,72769
3070368,561917
7301492,191611
3935700,341095
9593975,639487
2003179,247915
2793058,911813
5593318,290524
4025394,479925
2908892,274311
7891717,655301
14493927,135824
9692266,396155
4408765,12394
624155,961697
4913276,242966
11891944,88274
4085552,40531
13187311,224011
6564925,373891
7807640,247302
8088659,366845
1018421,461168
14116874,571962
12903024,1516847
8482138,491651
10716564,496893
12642954,216198
2684292,101920
14924176,201501
10887619,1183045
8734357,275661
98209,52479
16741457,6575
9203839,133930
11709608,527668
8891553,381460
4767050,122975
7172300,487354
16118336,333500
10408067,397278
10181893,316053
15171814,607304
5653615,62629
10195769,23386
11430816,379539
6418920,540248
11218182,560538
779234,188570
13285746,577497
6870008,130750
15391308,87531
5220517,239261
8243537,431379
2860912,588990
8595678,604041
6201669,501594
3440795,682766
16019549,22653
1812305,18346
6690597,8821
8591034,357622
2715222,104549
14232786,1081738
3539694,146082
15972482,196311
3971784,200374
1841690,881466
7655824,445989
8127917,14379
3743409,774639
4894227,120066
4537620,37395
3210433,399876
924525,5232
10668349,174822
3011081,116462
9002640,1304743
8179328,7368
8956443,746192
9262458,96453
3709804,52650
16453164,455078
13151267,1724213
258215,79136
14731670,54595
10292101,182562
10314467,428898
1667415,364715
2674998,1012606
14570588,9476
3627696,176015
6370589,143848
6158440,315255
12294856,192507
4083256,193948
8221236,36043
10038134,177475
15841880,4820
14055540,356735
6174296,2706
13684924,613006
9000905,354591
4475675,100577
722781,498794
15934797,75063
9452242,999935
652453,439985
13108943,667149
6372077,55998
5878736,167132
6568203,415116
10887735,413829
15086026,949
13710383,189370
5614785,285293
14431394,872781
15878032,565511
6498942,33948
3686034,54455
6769332,149659
16458125,233803
772669,174300
5275220,190582
9481276,559691
9252293,24495
16042400,758905
8864939,537473
14629105,319616
10355484,495064
12915996,361174
13119055,142767
9129023,206420
7233655,707601
16650492,344899
5844618,120906
6397672,213916
937522,885091
3544665,282240
3915104,301214
6931352,497498
2666711,583147
9856233,457857
6758710,498795
6412922,9268
9784073,603315
4266365,1302171
11682588,703926
2685412,324817
8218146,370782
5600848,397452
11071675,94963
16302554,223657
15795899,45440
2443691,367106
11129365,900561
1274170,503007
13126398,350539
3377287,580477
7997727,276052
8291233,204992
12100358,383356
16160889,97995
1084141,702180
14322402,1051357
9246798,1313691
15606964,692018
5115435,505223
8467166,87354
1183730,283426
12936565,79754
11428588,81903
4137133,476374
5457469,133094
1587567,319396
3377804,129795
14144584,143853
15525136,526510
6914587,1325722
12979738,326095
12436044,170273
10378768,451529
12641489,1461735
5004660,431860
5706165,45120
4869818,164117
16020057,27941
14846407,147804
11931244,68654
12229698,1193465
1147804,101285
13163904,1000163
3769116,503326
4805590,88088
7371322,150382
6448044,200367
12356836,467334
2007354,12212
10505494,1075107
7688850,193954
3218779,65721
7764069,346852
14340913,361625
3254812,135639
9514630,27345
11301159,277327
8347852,154961
12965927,16695
1923303,101310
11759783,98888
10688294,255312
16191201,78113
9551202,74336
3034850,355509
14817170,140965
12559521,140230
5205077,87713
5952344,194703
5340451,133120
1099746,309385
11287083,314136
1106055,1006713
455186,133630
361339,13188
11514980,163363
13323517,48345
14244458,994985
1758301,1381
10171369,38937
7624807,664251
1218275,181906
13753649,14726
10406104,407069
1463532,160885
9181627,164009
7903699,65939
7323833,420385
6694220,516328
14796403,494929
5646582,128484
6521650,1154835
2183959,429680
9091339,237439
13816844,523423
7443516,528365
15528038,272895
2575857,93301
2457917,577387
1921205,1019449
8184545,280478
3816273,718758
6120553,1192642
15876351,246995
7630440,209305
7361725,232667
1307717,235989
14928297,305859
3938248,26190
16766984,184189
6209925,19796
3737119,241886
2548385,622042
5846514,324608
12263710,272111
7250444,341608
4139664,618072
7050880,1096070
4482521,98840
2700475,528007
6100204,516796
7896528,186069
11428974,30746
11813689,701237
15551912,269802
15776112,1093106
9276526,75443
15879944,450664
9665328,406204
888958,571864
8868582,44280
8266117,524441
8570459,176576
15410563,715804
4495121,254405
6689778,154215
1383637,144017
9258472,1276662
3978260,216476
5639737,371356
3088765,345503
9129860,204496
4152688,35004
12663911,828950
13070429,14984
15241076,173359
81262,53766
4547292,22458
7280719,164692
12314912,1141701
15373580,389765
6407628,103222
13677260,4925
8176408,90582
10737225,245453
5394937,955935
4314004,2573
11754196,37963
5087072,119853
11782741,13113
11405105,1084869
13453964,442773
3919428,148394
15537829,56314
5636846,185890
403031,4290
12110698,114508
1014117,155552
14809316,462016
16226356,12126
10591794,463474
15450869,63115
2782985,198357
5781441,672781
3939825,212413
8037461,669924
11097351,746807
11750478,336495
10964185,62336
906484,59759
12095687,1055116
6064499,664180
10504010,1336448
1706878,165540
16238881,304966
4288103,216571
14776072,341139
5295699,247930
5290566,250397
9733165,936219
9804065,1119008
1295115,58980
459655,186513
6501197,80548
12088597,233899
10671461,424492
14827217,124139
16459497,129948
13441785,300539
3305874,636576
4653947,293085
168614,1040630
13692424,363333
12086706,42838
1295545,521955
4000186,242573
14241605,209722
10168035,549056
10624466,683400
4555389,502086
11661861,187867
10126077,138741
4869884,19861
7943985,305541
14645793,127359
13363385,224054
1700464,1380370
2137780,148408
461886,348033
15692388,350304
7895540,86159
740825,573060
1259910,74039
9227817,366283
13424883,16941
6772789,758167
5706933,14915
4845080,207635
15298124,248383
2369361,1071252
1145430,146516
4877217,1137447
94923,762482
14459020,591804
16019705,189422
7686962,83342
1805530,20562
5278334,290656
6306620,203187
1221750,729765
10761003,73891
7409540,354232
13750869,440193
6615288,287691
14041561,510274
9066200,969642
16004450,479522
11659349,692668
3034281,981865
7005090,56586
11964900,23600
178771,584566
7563852,359868
15507787,391012
737033,77165
5331888,769822
7824160,785675
8600789,285445
8879171,141022
10212514,490145
5496176,86247
11545821,174901
5476049,68997
8127962,48586
4607792,667701
13792130,70643
9868612,177137
8508323,208280
2083201,279083
8014492,190789
6558681,332628
10531260,64947
14461132,5364
8739218,539530
1793506,201040
12817880,71413
11192695,38295
