chromosome,fitness
9321108,13006
11797255,722648
3476828,18515
2463001,66441
5639371,255184
15301212,23290
4001388,330205
5198553,131123
4690250,530052
15347324,101861
8583665,63544
10570047,449584
365035,76043
10840237,240534
10938596,243375
12366153,307722
6707795,296618
1946817,419798
6192196,153599
971922,125091
2404128,409240
10657476,10046
2121560,675145
2007101,343281
16590273,498981
329637,534419
712337,17319
2258172,185669
2796326,7535
7237811,342452
11054611,356872
5431610,260882
15909794,92038
11737367,157836
12390210,220104
13224788,524070
5750950,90411
8209562,94650
16549044,360956
5523096,609447
15015129,161822
4824553,145009
4252935,299773
15988744,476033
1979466,799882
10939458,241834
14714613,499139
8806901,336933
11417200,974906
11953808,12024
14084720,21768
5306572,37778
13269452,15013
4530399,233031
13777570,786905
12817222,207392
16395382,438337
1645774,365770
12961930,536652
13555424,15097
8518376,227875
4064185,184048
12363011,28991
238654,209211
11129149,207663
11225061,29919
7612825,162570
10937058,892
1076682,257182
12857773,209862
12597050,106038
79292,273755
12106037,29255
12133048,1604280
10769274,135866
14694797,368797
6035140,709280
12999109,132263
3960528,10181
4933620,154254
13952368,246730
12112141,545988
4226315,268376
6893273,267477
4284212,202011
10234506,421688
12412457,113801
1641380,1621824
10825442,158720
10143416,122718
9012993,1965125
10163954,523745
4272036,400877
2518037,436946
6791276,874968
1052182,1421025
13970352,98091
16146986,233827
810404,461138
7550569,418311
8834276,325136
3960256,558582
8467197,459882
14701530,188289
13969312,264158
14948762,132827
14973361,74762
11430122,543678
13974000,356584
355109,374742
10118363,134458
6539973,224584
3281677,836871
10493773,170331
10394712,129658
7636521,621551
6580598,192739
10024007,4663
1103506,133025
3299645,187810
2607378,356087
533919,38254
1796349,128957
15233750,129484
2032987,84287
10767779,395872
8028367,435373
3612200,248293
1707670,245192
3003684,172237
12477092,348631
15081328,76787
5836681,385004
16100360,237321
14620937,682779
10679880,280542
5117832,151261
15602466,1153808
432809,154673
12124575,308216
11982930,190492
2631119,206822
10695634,191188
9796613,15333
16254823,464905
9837362,158150
6801985,900820
15266105,544338
2467060,255534
13061492,135073
7813296,673316
12803620,877391
7032249,73702
14606609,318905
16580861,696262
6622484,1054229
52810,1091375
7385738,54141
675533,374262
13655190,132418
4933723,1923818
7129191,789562
3564777,362817
15598941,135314
2976371,509227
14336442,32365
5203266,776376
5484693,222256
8980473,942177
11367704,39566
10760587,324028
942996,32956
4472561,29356
16468587,512074
11170490,78562
13225079,171150
5586210,73664
14031521,943302
10420830,161267
988658,339718
13407208,251491
4009586,30316
15118632,537871
10114301,40330
8003369,39994
3343975,945006
619731,1042558
5885997,1211566
8752390,91375
9930982,48163
12923700,324919
2630967,1156421
9307932,138350
2556589,771453
1269032,1035717
10083953,93148
3855434,696950
8326755,114961
4929110,127993
14446619,400248
10458656,641736
16597881,87280
11281677,638338
3192436,196125
3467889,215197
4973738,142949
15234682,109819
12702456,757589
14848429,149592
5837797,920527
15587334,147659
12165750,336930
3856406,385315
14158766,21600
9118430,220527
1500016,144738
2517322,663765
8731818,22088
2438914,223006
4988312,481786
2005315,344172
10775146,815552
13592699,107943
5440443,63755
13164966,592636
14693646,348256
3837640,442428
4141761,609593
14648224,359731
13941184,240749
13589525,12485
15406446,139291
5957693,8736
2645167,39620
13914653,88730
14183276,325079
7067771,52799
3703734,13362
16613639,96149
6863698,69124
4311421,472956
11025238,166220
13708924,24271
7113170,625330
1948004,25493
5273663,27073
5742646,138917
458911,716961
10656029,97254
989326,373537
5942034,36065
13236880,311679
7688001,124153
16604705,125970
1685168,352125
4814220,40724
10837257,274980
1532204,540958
13275733,1271467
4361507,1326226
15566412,77603
3922352,205179
5194588,90167
8962875,611976
16526664,622023
445988,323621
879370,151007
2216373,439651
13821208,81462
14717087,196175
8376578,11711
887095,188364
9810179,244863
6934353,101867
4050002,209234
13718450,352367
3454995,276597
6614369,181968
4224932,175937
1314077,258150
3048549,1554906
15809099,241487
8750093,1154452
13503772,265563
11635100,19006
14926966,426088
9474919,277628
9730736,369697
2496060,242971
7917598,429458
2320622,443615
15471897,914613
9832165,533382
1722074,453630
15962726,224849
9460909,468695
15022792,291473
3786672,56539
11870603,114887
5542413,264165
5911992,306498
9866291,308904
666383,155884
10700086,813265
1057789,243057
16409972,477348
13785574,105289
7101059,515893
13313659,322270
14313156,475653
6757988,305540
782427,467895
8940381,240627
9262936,36423
12265030,500308
633293,298825
6957742,129971
14001410,159883
7610240,44508
5047918,619193
2446630,355132
8533636,1141619
13574553,505662
1254339,824658
14971698,3927
2725102,154388
3203961,145659
12670557,305521
7989577,430671
15016602,221266
7113238,368344
10050197,369465
13487142,125246
13473885,86618
11594309,579657
5607876,400672
3467681,100058
3044380,211
6568660,136123
938526,85742
11285019,442392
11452678,588549
8261346,122602
4665423,341929
15813099,372106
3249402,130167
8773869,71367
16013446,258100
14274842,287239
7542090,796984
1387762,532234
11456598,298641
7456561,178413
8719933,137544
10262916,230345
11156245,171388
5057513,54819
13247372,797310
7111046,770425
5386145,307176
16680152,104554
3369085,593768
8998300,357782
4228844,1055125
1021963,647078
6019521,339862
4420553,67409
2894547,667411
3201300,839139
12756773,24065
16099490,277976
7128297,769356
14487273,28681
14956337,56078
2411083,366410
12277356,97398
15291317,60818
12353788,675858
7130424,41669
5785245,217231
254713,263300
2200531,144016
10624460,312587
259091,409294
13753420,60235
15815727,106388
5035540,31018
3876531,20724
6924100,413355
16663164,260986
13736944,103377
3457230,100596
15835913,463813
2674234,317646
8173674,62936
7323802,47857
1262581,384524
13025499,79973
3000343,302468
5946467,305182
1733545,77317
1330010,176677
10675721,543263
10567491,15298
3953433,273008
12155681,641550
2206547,230490
1761749,2659
13146780,156071
13437787,30812
1692456,1001055
13284588,30159
13842637,156076
334819,300434
16224309,181211
11660928,31398
547829,456748
13329206,100692
8209202,603787
3971270,124554
10625995,481178
4279131,674082
3315014,213657
9646715,324429
12683950,99239
16332425,44328
10900234,236408
1917913,92782
5514936,383377
14781799,71213
13457200,530858
2566286,80352
3370108,122848
644426,758417
10675769,31033
4892130,825954
3878042,70857
12354187,45640
14610552,106247
3238571,50115
15140438,75367
3183949,347742
13843800,1191
6717913,450034
4839962,321545
6189857,348459
13258300,582937
12899138,465862
4556645,21932
10803682,35705
4612252,837775
9198126,234100
9529004,116419
7782726,33141
6515417,217269
11740082,295375
16387043,531539
4901306,147170
1195561,713777
15802619,1097752
13225604,298227
13747827,262702
13250293,14759
145655,787911
15409789,801565
10951027,553935
2963236,37647
7369433,430636
13422032,177346
3765604,852246
2516738,221650
3805693,464455
10508103,162669
3366405,171899
103403,103245
9637166,257001
14265029,55844
9776645,211190
13097600,104209
6106752,718415
8837380,521573
8110203,718534
10387693,579441
6199849,99571
11592166,52652
1979954,147372
771801,93280
16345660,127477
193098,769014
5661261,185562
3786799,431183
4130533,83911
5408283,147963
8044731,378040
2367679,506551
12312881,842884
5495440,240201
4982631,465103
7770348,62759
3609779,84753
2476898,287390
5470850,188911
6529223,699030
10255460,610801
1171929,337474
1680153,623850
14238428,926301
16534952,95897
5547824,36025
5473220,592432
15743477,54075
1892506,139188
1194636,387118
9543552,21468
5459069,450613
14033593,238315
221152,625018
345294,636671
2434143,37708
14489659,640706
7877180,1050141
8619499,148413
1262123,1789223
4571758,64172
15018834,238585
16306629,317381
887721,33936
10150817,296447
10235714,137172
13236673,442725
9704283,54182
6135974,323582
1772812,1239229
8132392,489706
6236547,23935
7103063,294268
2072812,138122
16061961,513404
3051687,334574
10179911,33672
15554675,1078432
4465307,595975
2548746,268889
15078197,224900
10967348,372684
14714753,1131766
15326817,568361
2952082,608962
4148561,307443
2825547,552891
11216378,47556
15238924,542960
7489963,453148
14787847,31279
9159350,170509
7103283,370337
3746612,916646
6940885,404852
7755332,238833
7560325,152792
7916170,263524
2115343,248750
4452724,408744
13988226,166693
1317768,658744
9595229,232722
7659860,140436
7898963,169151
15970390,34532
11237816,83786
4997982,59910
3367724,303436
6644485,481260
15423771,89704
1426888,73997
9981363,595519
10460000,85501
3119207,123238
8561815,55075
14158526,377158
13951052,797769
7347830,241591
498320,519867
11481267,563598
14300841,141472
3910025,34709
10393626,218332
13401157,544419
2969505,106767
396949,259223
6591795,49711
4021105,48263
15549924,606844
1275093,21048
15127824,171443
15994660,230255
3421156,16032
1765945,179914
1300558,62601
2591522,364662
14631608,448371
8700557,240094
8621701,214445
11123755,21434
11310293,98940
2452756,119483
4078115,269640
1842168,80519
11040013,469683
14226231,216100
4240293,184706
2880688,553053
12821595,350831
2918805,392465
14208992,131171
11970888,334580
9316950,487801
14992042,198517
7441209,240139
12036305,15266
5503424,83290
11447088,147636
3160687,5558
9507247,417043
15075887,46618
2729411,570981
8558073,192302
10793608,474764
5527249,310305
11214393,624689
6025223,68362
895079,774414
3880323,2597
11342174,309435
2650967,16029
12703152,748102
13787949,113861
11461488,175896
9690196,100020
10318054,195499
12884563,375805
16483845,446449
13923449,298631
4301614,24741
7879331,724033
14060152,452361
13353811,356503
9315958,141638
12765750,446344
5032055,586384
3826394,371869
15490087,141078
10981702,140382
9532634,60984
15928264,737483
14343792,127725
3657986,268012
3981731,491604
4995335,468277
7004938,69995
15725633,20317
1449322,82351
13087937,107236
7325805,90750
1992242,269268
3758573,14819
223093,55258
7277235,334135
3617476,114476
8904876,42424
4110896,32973
7522598,402754
13914948,810376
5343676,184170
9612327,128018
13283699,746582
509100,29145
2811014,290337
618087,410102
3511315,322418
3290325,568330
9235620,103957
3971317,29180
5407438,210268
11327813,254407
2764011,897073
11269282,51670
7097315,224351
14769080,103296
6311628,745050
15285541,543592
6484163,831507
5184771,425217
14719158,711831
6476854,342572
13834554,716239
10350668,57398
16125123,549845
6241520,18380
12921828,119087
6013501,4263
14239062,780753
14830108,1247591
11090071,524308
9806308,351730
16423993,178716
15928476,268698
3064265,622507
7687529,254715
11437521,349285
11830680,18303
13335667,303652
4218429,236703
11562227,480328
2542182,78351
7361163,804249
13843778,398561
8940442,69478
4729749,739884
13913461,24721
4004532,170641
7478637,31481
6114489,180072
10164040,981197
2637202,631905
12937764,1186347
10575704,182415
9839379,311717
9728538,135335
7291282,904577
7579972,707285
13391570,189331
15958758,137555
891130,231131
1394958,350855
8563403,66421
8719035,402705
2523727,51655
13905496,369731
3294461,587531
10546393,141028
10961270,701159
9983920,814880
5195681,252107
15895244,23631
5673156,1100880
15769876,1425483
9495101,189522
2647021,422841
8801202,78847
11824181,172281
1982272,49303
12797310,89394
3816069,437333
6779402,10888
8434602,3260
4834886,883680
12999410,31925
11703383,16786
15755674,18231
13640633,792314
5040513,649760
9867539,324411
11799879,186502
8032442,638889
2781438,208348
14919178,67405
10583490,114892
5611893,144001
1409465,556257
5049869,563157
11751880,1318372
3421017,88041
406284,379428
5115539,112568
13725273,106141
10376409,62744
9228842,744066
7080905,828171
5285768,52197
11244404,423570
3347361,1409663
16635040,315243
13684418,230743
8329235,872765
16459110,311563
13067318,74670
406291,367496
6706514,458027
6526533,499003
798911,129034
16310964,82161
10181009,912913
13588748,164268
10534418,160146
12621557,153007
3484269,161808
8033339,100629
14631781,193430
601052,260820
6100675,113135
924437,345337
15097361,107480
1349836,491195
14008721,446094
2200438,271336
13571339,78294
2745240,51712
9338496,47530
5149255,178291
5885378,126495
14949403,418027
12802822,152323
1062524,682891
6134160,293412
1428565,12952
5321180,415271
6827599,47727
7279842,1141440
2535794,359427
7848233,297411
3546017,249718
14738857,102666
6136465,322152
16225384,323761
4831665,623749
12392629,522171
1099068,639487
1529458,2843
1160584,247170
8703561,407386
4047379,362635
15003,589366
2581706,164194
15455409,446410
4179050,9271
936410,401754
5498129,274424
15750547,122566
4625588,266546
15049740,376855
13136746,872650
3488778,172575
8435109,290232
4979812,263226
1883408,15157
3379683,528300
14461712,181119
9540250,253851
12247640,748825
6362934,178476
572834,369092
224557,180830
50843,129018
10473555,269870
7910460,149324
3691197,375904
3742604,61503
12978870,257104
3263345,670554
5315420,328334
9540440,893532
6847796,462205
11774264,465075
12636954,234662
1616053,1199829
14958153,76259
12019922,60561
3637562,126529
4254747,283679
13845401,249040
7644706,263062
1145866,879500
39643,274347
4229790,168395
2971803,124751
1717518,32946
9141333,463250
2365380,374348
9201145,78359
1086452,463606
15878733,801187
6865774,198810
111004,220637
9015725,731099
8004878,154162
4836850,111216
15475609,106323
6471240,162440
5117593,124074
3939216,623802
15931814,41089
2804217,489608
11807124,420369
6462004,1029009
7092845,114648
1871365,392126
118468,689602
7712883,201527
1837879,61611
16272219,34384
4070737,508593
12356496,113863
13230732,303951
4865704,639022
10840214,129173
8953730,10479
14517896,91083
12921721,146768
14310105,166865
15049097,235412
15585666,87126
7259301,177490
10655839,86503
6500152,100281
7204981,68487
5574068,79524
12322346,1179653
9565761,517891
6161742,123817
12269314,9849
6977756,275531
6197937,214418
628466,685567
16441925,428888
1526437,227505
7361710,283713
10666621,611543
6968454,1076378
8468029,338977
4075907,248147
8962525,717857
9772204,86193
1125835,40351
1789656,378355
5848516,175362
6649378,288262
7221401,946272
11378938,288707
678350,280714
3353880,776533
13831021,364037
11306294,157912
8014789,146945
2895666,61463
9872209,125597
11275820,1015128
12325167,210969
8085990,147802
1871187,79759
8669902,187909
15377737,821811
2802581,36239
3761908,216551
3897764,44243
901515,245492
15778585,500699
5123699,61078
16477809,48475
10591969,615472
8319073,825433
6389201,8614
3574504,351989
16244912,226247
1693304,468338
2753438,330385
4610063,329497
6537587,1152479
8836336,707455
1477108,49132
7390597,310251
15106547,165490
5154561,184778
13864212,186070
5391663,204940
14507456,165506
8139993,7344
1832981,73147
16089605,846636
2503652,66685
15604235,357952
2633154,1676053
7965461,72904
13611154,79368
10923202,32644
15521894,391767
14669120,18077
8580419,231514
9641292,455464
13335224,43095
2264550,27156
10072505,4791
2357865,1942
15116294,484906
10170084,270325
6702521,48802
11777186,75064
3175702,18112
4156451,118784
7933721,350528
14795887,228474
5363956,602273
7580010,43534
15603274,404252
3641462,124345
11700716,284718
10397937,527323
14968228,325183
13792069,241792
1855208,640112
12656363,77721
8327971,120750
8886112,312002
3267056,648252
14796089,680570
14061766,131595
6401896,28760
3506649,301251
2650798,253199
5400070,609881
2271737,339251
2962059,58782
5315323,136217
16548531,37563
3357490,523
703969,305040
11562570,440425
9897234,1092412
16516821,35081
12001589,473932
13753552,532499
459966,201713
4101568,261809
6592480,63240
9702374,41199
12695344,360551
290322,736400
6202920,120635
5445396,343880
15770017,1677409
315000,447585
7669578,19018
8535659,206833
12815881,867857
5907859,508405
13324743,461222
12756773,24065
3435732,36278
10091664,89938
1232991,86830
273085,115087
7050067,139567
5542354,365462
9452854,5954
15357331,141834
10315362,656128
15021364,110489
1535536,225378
678555,293425
10892074,10338
5155404,19892
7967538,461941
7059985,574706
14359164,460099
7418415,44036
8055201,328620
10293995,248635
15945410,147786
11845878,147751
7752723,495427
14316054,183719
5125213,111624
13444643,1068988
11838321,262843
13169112,503375
9104336,166129
8079082,64518
15656240,35884
1729213,134484
2168571,291525
1480128,557918
5935737,1080050
3138580,65979
1286747,198186
12724026,270596
11721283,302851
15944340,458513
14870068,8684
15413851,344683
16443745,822476
11543484,226004
15160034,463887
2871611,40695
3073132,48920
8270853,581530
4406756,213072
12114354,5238
7573749,549296
9657940,147172
11659500,71768
4353513,455447
10308669,24207
16742404,284420
8262609,87063
2426565,1102873
14161848,349855
3822476,1121
13094987,312123
7748417,61968
7896274,209928
1164723,74261
11165432,108760
15323167,50934
5611676,1925
14524985,77221
3073384,134707
5284810,71651
11756605,156859
8243251,445520
7346909,129221
15252841,61095
15107784,196833
272337,637826
6801479,95931
10361468,76900
7278019,38589
14313874,534341
6904589,159983
1808556,611909
7098019,228756
8211052,469994
2171390,639341
4627593,24379
16205076,4166
2963638,101248
5424722,736207
2780173,1075555
13789925,381800
14617379,274816
14437513,845664
4167754,233538
7738186,138575
13032450,376098
866051,73600
11213308,299591
14752188,586968
9148101,89424
3280477,363180
6375315,173052
9726506,617935
5565476,281309
5852149,22691
2517606,358760
969227,188061
9029069,9048
14789817,72308
6950075,909567
924626,104968
13773858,2146205
9620152,455938
12658491,11103
7900749,69968
14895358,251815
13292844,121201
2919642,90972
4792090,84491
5438020,114740
14497316,234280
4613988,72874
682351,491945
15803751,406501
8001976,1014311
6676968,219943
5956370,98935
12200271,93874
13830526,383238
8805776,362214
3856872,232448
259234,517463
476462,55345
7639189,466417
11220508,23643
9209998,632942
16586400,851355
16483721,8976
10801988,316408
6039282,246850
10007731,227100
2846887,734138
13331116,212606
4682250,275612
5389340,442744
13995592,234178
2282465,754979
1165108,141551
4266430,221775
700591,130688
13001160,1187170
11368744,764975
11492466,386130
5888341,107161
4223407,22146
16442387,155536
11713577,232217
12344515,89858
4012234,262095
12302412,214667
16016423,167496
16568617,254830
8505907,1321014
824107,196505
6993282,29312
4557126,855198
10706137,382641
11113811,691391
8757850,423335
5649652,15394
62850,507675
455250,99020
7673218,377650
13480978,370151
15345245,315274
8326744,144664
15578168,131631
15806893,56302
13536976,139509
6407074,881925
14882506,345602
87946,173414
6410303,207675
1907874,1063207
2768356,464925
3724753,299661
3810827,825081
15772997,70535
4348775,183370
1242305,770132
11654356,135274
7221040,189850
7570278,181929
1397053,196455
6986137,221734
14639163,197432
8567937,1069139
6467868,305895
4567844,11394
12606965,143827
5148194,665926
8311000,28087
4302927,827303
16606816,966089
9295139,51280016000
13969872,1011768
3677931,2307
4746650,64540
10268884,432421
11211262,51820
4561636,220966
4371844,215775
4015482,115318
362201,128762
7752529,386664
11873859,21502
1134425,347983
15870771,157080
6877498,297166
9855115,590859
10578745,583771
5443060,529777
11479427,311394
6932885,286704
9706984,460416
14821005,151021
2675499,373982
2079297,69526
11315828,473537
11140608,584258
774503,558533
9328179,273636
4529089,919447
2111400,805267
12168552,459615
10409016,182810
4902042,161293
13526513,136214
4281274,289933
10141885,588350
8099107,151094
12264794,293083
11697672,217482
11082542,242991
6638228,640285
13488514,351850
3175750,451404
5485905,117918
11155320,353538
171316,745483
14289583,16017
13262347,211212
7709361,44485
15259369,16018
12769881,442240
8144553,354167
10047250,493737
16163872,1350640
859245,1002238
13503114,918127
1475027,372191
12134835,679672
8957616,1061464
3154607,504704
11623736,579705
5429546,236800
12843123,237591
3785743,173676
13727208,235783
10825824,3355069
2970412,343985
10233337,70368
4879781,219468
15583656,172356
16619968,292296
4081264,1440237
11116153,85266
117197,511952
13371150,28033
4987763,597427
2739971,29694
5258200,191775
1262223,226154
7878956,1046712
3633856,534763
12896048,545034
7526113,2907
9970879,150751
9210714,10408
3835267,656090
16601684,546779
2373552,135273
10758009,128171
3504211,381092
7362182,153151
12522194,225853
7033270,271307
13512400,419918
7911073,270688
8721783,53875
634642,27519
3437094,283691
1532482,1308892
128211,122832
6144125,388749
2797076,353357
8209613,35551
11306141,15337
3423347,295105
16527949,44171
15568209,393941
3002963,214120
1600938,216079
7114054,28470
10146933,516438
3887008,477424
5116062,555595
1937534,74913
1471017,699151
4355708,19668
