chromosome,fitness
15697965,444636
15717984,125477
8590259,734151
10756887,80995
7907422,272132
3239746,192672
1182606,45615
11744820,242818
4730268,443854
9647465,818766
14050362,80943
3089754,28557
10708357,373499
12820775,659042
9979039,376821
15608444,24365
7704694,345727
1974669,285012
15974631,169809
15361558,173137
7685452,324371
488044,311944
9573583,273304
13574890,397271
15674737,183724
9604280,995192
12543272,130747
3025207,80797
5589517,462296
9916901,44684
9609717,308992
9127354,528632
10186989,368149
13623461,132447
8899141,311529
10524249,1035855
10509614,158756
8993607,193055
10839242,440808
1325255,318327
2529332,1226723
14936433,559864
7421140,297581
11875461,93249
10193178,613843
11191146,716991
6789601,116945
289468,8872
7653056,555973
1621317,87618
6161623,127549
13801677,198713
13667781,307811
4983983,248083
15415596,604635
15785192,285326
8046855,32952
3037511,129303
1922158,151301
8329704,193396
2029712,58874
9965372,422700
4623640,424768
8336552,78929
11637339,269922
7367942,320124
10525170,987924
9143559,713938
1222132,7756
14969258,7595
2559753,194223
9137287,78867
13693641,42467
15854433,73154
11188844,86377
9859780,43602
1532744,555964
4097425,56628
15011367,45274
254914,264283
7880036,887506
12768283,279373
7017965,27681
686439,610158
14840998,223049
9696784,21046
7742913,576798
7148395,300320
4298673,120042
7354867,333405
11878891,217691
15244612,978692
727941,723204
15093926,816255
7811313,807791
16073491,127071
16038992,176068
10273177,233602
2153550,210507
12894446,423343
15748617,1337677
4398227,1045171
13398039,717021
10627423,154308
1017571,4121
14451291,281086
5133208,48064
14393498,395365
15004739,21445
13579602,16894
5142088,478599
10910312,557999
4253349,276397
5561473,213835
16767488,9299
12818684,243133
6457886,155523
161325,364351
2763691,57929
9260905,136278
7358907,431544
5836582,441792
3010572,493919
12209754,165542
11105605,841096
4580395,4876
3802518,612797
1947660,198822
4346638,467814
14615245,122959
16285033,26295
12938531,140082
15993935,55977
8204772,340644
15021164,638172
4348899,394467
10648216,402046
3340339,228172
13168846,85889
13262468,515230
3263566,1366
9057260,332432
10148051,274097
5322513,645978
2213437,85424
2127635,137606
5878870,30188
10723820,339751
11512272,40117
431874,84069
2645370,703790
419353,529719
12710265,482791
2779471,271549
8701396,76230
1838914,977558
5140097,220409
4743113,70575
9252473,310094
14928038,532285
13091188,589457
8183973,309800
11021255,164083
5873943,323114
12265084,58610
8929156,181242
7752294,307595
12389346,331291
14261324,517810
882952,1243711
626405,720104
9000090,1231862
1224168,104006
296682,458526
10713180,737252
